Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
85	0.6979822	0.26691705	0.9424229	0.78741723	1.5361844	-0.51930714	12.676471	0.79053855	0.4058709	1.5503925	-0.78662634	688000	0.0	0.1850962	-0.037720826	-0.12667856	1.3817406	0.012943008	0.170625	79.0	98.72068047523499
86	0.73505926	0.228942	1.0121177	0.7463987	1.5236386	-0.41542557	13.118243	0.7963883	0.39125323	1.3645773	-0.6563238	696000	-7.450581e-09	0.1854507	-0.03615283	-0.13492668	1.3401747	0.015096741	0.18525	56.0	99.82786130905151
87	0.83668303	0.1494281	1.1847961	0.630924	1.5319042	-0.41097125	13.381035	0.82992214	0.40602574	1.6125841	-1.1942847	704000	0.0	0.13710016	-0.03555426	-0.09616288	1.304461	0.015202201	0.17500001	72.0	100.9441089630127
88	0.7007277	0.27635568	0.95161134	0.7714726	1.5316156	-0.48969087	12.533871	0.85226524	0.37131315	1.4795659	-1.6414111	712000	-1.8626451e-09	0.18374658	-0.03695417	-0.11235944	1.3750647	0.012586976	0.19	79.0	102.13206720352173
89	0.7591964	0.21956179	1.0512949	0.73312765	1.5333605	-0.44223046	12.644231	0.8292696	0.3798976	1.4696922	-0.63941723	720000	0.0	0.12321447	-0.03620994	-0.08043149	1.3251901	0.010609036	0.18625	79.0	103.2784218788147
90	0.7779608	0.20226586	1.0854204	0.6998042	1.5308014	-0.37499747	12.719355	0.91317517	0.32986742	1.4847776	-0.5870432	728000	3.7252903e-09	0.14910933	-0.035123967	-0.095053524	1.2931913	0.0150179975	0.186125	67.0	104.39780640602112
91	0.7752193	0.21783626	1.0764302	0.72252023	1.5327295	-0.8018944	12.841503	0.85184634	0.324344	1.414092	-0.76097053	736000	5.5879354e-09	0.16116744	-0.038828053	-0.10686279	1.3166851	0.014932975	0.19725001	79.0	105.5679886341095
92	0.79725206	0.19580343	1.1138964	0.6842263	1.5335196	-0.5914044	12.668831	0.86127293	0.35547617	1.4980074	-0.76185286	744000	3.7252903e-09	0.11400675	-0.034400653	-0.07330838	1.2887263	0.015068387	0.167625	56.0	106.66623616218567
93	0.801876	0.1838266	1.1400397	0.64985365	1.5351537	-0.34277028	12.888333	0.9210779	0.2843655	1.3359551	-0.52597165	752000	-1.8626451e-09	0.1254696	-0.028151784	-0.07805226	1.255602	0.015057668	0.14975	31.0	107.62882423400879
94	0.7466245	0.19814241	1.0300301	0.74782205	1.5344543	-0.6905258	13.539655	0.8395249	0.3903701	1.4353102	-0.54806393	760000	9.313226e-10	0.18269335	-0.03688903	-0.13579866	1.2972534	0.01276163	0.203125	79.0	108.7820816040039
95	0.7480269	0.19271186	1.0228068	0.7610476	1.5329006	-0.7009923	13.627623	0.8408866	0.35248902	1.5132456	-0.49738884	768000	-7.450581e-09	0.22645235	-0.02331099	-0.1433774	1.3099909	0.016174141	0.177125	20.0	109.70963215827942
96	0.81202483	0.17445177	1.1532753	0.6625866	1.5342656	-0.48120317	12.849673	0.79203445	0.358624	1.5110624	-0.80953544	776000	-1.4901161e-08	0.15810563	-0.03135996	-0.114920355	1.2791383	0.015022957	0.16075	49.0	110.76286101341248
97	0.8102287	0.17588243	1.137951	0.6769198	1.5490189	-0.43255687	12.905629	0.91656417	0.312465	1.8632017	-0.96181303	784000	-3.7252903e-09	0.10603877	-0.030059066	-0.05728177	1.2761817	0.015192289	0.17725	35.0	111.7448217868805
98	0.7342397	0.2385231	1.0137048	0.75932926	1.5244802	-0.65821296	12.696078	0.863244	0.38402158	1.4921998	-1.2231642	792000	1.3038516e-08	0.15002222	-0.038379632	-0.081445314	1.32231	0.013912849	0.20212501	79.0	112.93414831161499
99	0.77202904	0.22797097	1.0704706	0.7275973	1.5284929	-0.58827126	12.1796875	0.85664344	0.35300615	1.5621859	-0.66047066	800000	-3.7252903e-09	0.09361845	-0.03815982	-0.0630287	1.3134577	0.013349849	0.18862501	79.0	114.08994007110596
100	0.7984523	0.1868418	1.122428	0.6869825	1.5325449	-0.4060044	12.86755	0.93528545	0.29187918	1.5332814	-0.85759306	808000	9.313226e-10	0.12443543	-0.03722277	-0.08883019	1.2814009	0.015015995	0.190875	70.0	115.23584771156311
101	0.7974624	0.2025376	1.1163672	0.6915866	1.5277295	-0.39246875	12.587097	0.8891808	0.35817954	1.5061519	-0.6805077	816000	-3.7252903e-09	0.08516863	-0.035298668	-0.06166798	1.2796384	0.015107945	0.17975	74.0	116.46181654930115
