Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
83	0.7131468	0.22715941	0.9863872	0.7338421	1.5361553	-0.4894027	14.223968	0.7599964	0.303383	1.4244504	-0.5097238	2688000	-3.4664758e-05	0.16491213	0.014316464	-0.013905433	-0.053824157	1.3867897	0.009070028	0.098124996	79.0	2398.4740703105927
84	0.64626205	0.30728954	0.8717488	0.7836525	1.5344824	-0.409636	13.214286	0.72851473	0.3316981	1.4074602	-0.6886497	2720000	2.6443973e-05	0.16321495	0.014166972	-0.011464613	-0.050684225	1.3754153	0.006832789	0.080968745	79.0	2427.858216524124
85	0.67061985	0.2889818	0.9090518	0.7630151	1.5392721	-0.42248648	13.66681	0.70993626	0.358538	1.4425836	-0.6564334	2752000	7.516239e-05	0.15875624	0.014056757	-0.013386525	-0.055728246	1.3652799	0.0074866805	0.088	79.0	2457.2456901073456
86	0.73145074	0.22446114	1.0044785	0.72626525	1.5282459	-0.44757417	14.282824	0.780459	0.32072195	1.4974006	-0.702156	2784000	-0.00013327319	0.15032408	0.014045794	-0.013201778	-0.05040606	1.3585634	0.008445436	0.09181251	79.0	2486.6769564151764
87	0.76436853	0.20897952	1.0510446	0.70300156	1.5431156	-0.44060802	14.248208	0.7861117	0.3033508	1.439664	-0.60861176	2816000	-4.03272e-05	0.13919556	0.014046183	-0.012289284	-0.045402102	1.3594193	0.007698833	0.0878125	79.0	2516.060198545456
88	0.7819224	0.17076716	1.0924691	0.66753805	1.5423288	-0.47181737	14.861008	0.83881956	0.2960018	1.5964774	-0.44293696	2848000	-8.944981e-05	0.1433529	0.013927396	-0.01287826	-0.047705755	1.3452119	0.0077419006	0.08890625	79.0	2545.5793194770813
89	0.7421887	0.21717024	1.0222783	0.7238226	1.5214686	-0.71920264	14.393569	0.80846524	0.28992164	1.5076119	-0.70708865	2880000	-7.1434304e-05	0.15318853	0.0139133325	-0.013339248	-0.04938688	1.3503084	0.007717982	0.0903125	79.0	2575.0695719718933
90	0.7162759	0.24333355	0.979179	0.75085014	1.5423098	-0.55160856	13.821553	0.76690686	0.3272516	1.6055797	-0.6442548	2912000	-7.160241e-06	0.15639457	0.013856441	-0.012762357	-0.047561787	1.3420742	0.007838016	0.091125	79.0	2604.4525225162506
91	0.6922859	0.25817114	0.94970787	0.74848545	1.5375894	-0.5746341	13.973151	0.76106066	0.33410218	1.412464	-0.54464114	2944000	-0.00014848821	0.14827181	0.013913518	-0.012300246	-0.05195575	1.3465345	0.00548594	0.08234375	79.0	2634.054545402527
92	0.6849903	0.26412225	0.93842626	0.7543011	1.5330138	-0.42928463	13.836237	0.7376789	0.36271727	1.531805	-0.7311733	2976000	0.00025468646	0.14432332	0.013717901	-0.012625938	-0.048667014	1.3322802	0.0077954745	0.08953125	79.0	2663.4751286506653
